vehiculo,latitud,longitud,timestamp,lineas,paradas
Bus_4,42.440608,-2.432993,841652805.0,[nan],[nan]
Bus_40,42.408825,-2.443402,846634880.0,[nan],[nan]
Bus_41,42.480036,-2.408356,105096242.0,['L75'],['Parada Jordana Reyna Ángel Valls']
Bus_42,42.443067,-2.426532,107924763.0,[nan],[nan]
Bus_43,42.462431,-2.414742,487649012.0,[nan],[nan]
Bus_44,42.424025,-2.45802,715580339.0,[nan],[nan]
Bus_45,42.421908,-2.436494,1578892347.0,['L5'],"['Parada Inés Camila Cerdán Frutos', 'Parada Isabela Palomar Torralba', 'Parada Tadeo Aguilar']"
Bus_46,42.458845,-2.480861,369237295.0,['L65'],['Parada Marcelo Benitez']
Bus_47,42.436255,-2.425362,1260620406.0,['L3'],['Parada Teófilo Rios Carnero']
Bus_48,42.431567,-2.424697,437857995.0,[nan],[nan]
Bus_49,42.406179,-2.478795,53190479.0,['L31'],"['Parada Toño Cerdán Alvarado', 'Parada Sofía Reyes Borja Torrent']"
Bus_5,42.422426,-2.454018,106290188.0,[nan],[nan]
Bus_50,42.435381,-2.47541,489872183.0,['L13'],['Parada Ciro de Arnaiz']
Bus_51,42.428629,-2.412155,1685042358.0,[nan],[nan]
Bus_52,42.451478,-2.473974,570022409.0,[nan],[nan]
Bus_53,42.453473,-2.465409,1122903564.0,[nan],[nan]
Bus_54,42.426936,-2.452467,1451697317.0,['L53'],"['Parada Edgardo Villalonga', 'Parada Ezequiel de Checa', 'Parada Toño Cerdán Alvarado']"
Bus_55,42.463429,-2.455746,421076604.0,['L87'],"['Parada Isaura Piña Marí', 'Parada Marcelo Benitez']"
Bus_56,42.474357,-2.483112,407676251.0,['L15'],['Parada Jordana Reyna Ángel Valls']
Bus_57,42.4974,-2.411534,1320809430.0,[nan],[nan]
Bus_58,42.470245,-2.437426,117147253.0,[nan],[nan]
Bus_59,42.406018,-2.440548,112132260.0,['L81'],"['Parada Ernesto Goicoechea Almansa', 'Parada Jacinta Mur Mosquera']"
Bus_6,42.443904,-2.486275,111723708.0,[nan],[nan]
Bus_60,42.469345,-2.473534,1283675753.0,[nan],[nan]
Bus_61,42.497667,-2.418346,865515974.0,['L91'],['Parada Tadeo Aguilar']
Bus_62,42.460944,-2.489868,602465028.0,[nan],[nan]
Bus_63,42.418557,-2.457063,342109157.0,['L80'],['Parada Teófilo Rios Carnero']
Bus_64,42.483946,-2.498303,626385960.0,[nan],[nan]
Bus_65,42.475189,-2.499593,247585612.0,[nan],[nan]
Bus_66,42.420648,-2.42872,586556772.0,['L13'],['Parada Dorita Ariño']
Bus_67,42.410206,-2.418208,691722540.0,['L55'],['Parada Jacinta Bosch Cañete']
Bus_68,42.491888,-2.48511,635061668.0,['L70'],"['Parada Emigdio Torre Gras', 'Parada Ildefonso Solana Diego']"
Bus_69,42.409076,-2.4357,800535934.0,['L50'],['Parada Ernesto Goicoechea Almansa']
Bus_7,42.498081,-2.409991,15020099.0,[nan],[nan]
Bus_70,42.417449,-2.446224,751645982.0,[nan],[nan]
Bus_71,42.487377,-2.428195,1587353737.0,[nan],[nan]
Bus_72,42.491193,-2.443351,908696436.0,['L2'],"['Parada Jacinta Bosch Cañete', 'Parada Inés Camila Cerdán Frutos']"
Bus_73,42.464053,-2.485454,594391521.0,['L16'],"['Parada Jacinta Mur Mosquera', 'Parada Bruno Valera Coello']"
Bus_74,42.474429,-2.429963,776074789.0,['L28'],"['Parada Edgardo Villalonga', 'Parada Ángela Ruiz-Busquets']"
Bus_75,42.473117,-2.42214,1089390946.0,[nan],[nan]
Bus_76,42.485483,-2.499584,416822154.0,['L48'],['Parada Toño Cerdán Alvarado']
Bus_77,42.400563,-2.487786,1713930724.0,['L51'],['Parada Ildefonso Solana Diego']
Bus_78,42.420356,-2.496753,788785835.0,[nan],[nan]
Bus_79,42.485696,-2.483437,1728687196.0,[nan],[nan]
Bus_8,42.465044,-2.498643,1398529837.0,[nan],[nan]
Bus_80,42.449283,-2.47168,1052088631.0,[nan],[nan]
Bus_81,42.481894,-2.400129,1536351831.0,[nan],[nan]
Bus_82,42.4387,-2.414695,1298190195.0,['L74'],['Parada Teófilo Rios Carnero']
Bus_83,42.484331,-2.455195,770384411.0,[nan],[nan]
Bus_84,42.473054,-2.468672,511746433.0,['L80'],"['Parada Maximiliano Linares Suárez', 'Parada Ofelia Roldan Araujo']"
Bus_85,42.486817,-2.462372,1635345519.0,[nan],[nan]
Bus_86,42.459256,-2.418777,495723933.0,['L22'],['Parada Esperanza Morales Borrás']
Bus_87,42.491966,-2.472219,1578055720.0,[nan],[nan]
Bus_88,42.428869,-2.475136,1146601794.0,['L46'],"['Parada Ángela Ruiz-Busquets', 'Parada Ildefonso Solana Diego']"
Bus_89,42.42077,-2.446828,857345838.0,[nan],[nan]
Bus_9,42.460426,-2.491096,604430967.0,[nan],[nan]
Bus_90,42.407494,-2.49963,1505115135.0,[nan],[nan]
Bus_91,42.405839,-2.423569,1352088414.0,['L57'],"['Parada Ofelia Roldan Araujo', 'Parada Martirio Barberá']"
Bus_92,42.40587,-2.439831,1009550986.0,[nan],[nan]
Bus_93,42.478448,-2.469042,238511386.0,[nan],[nan]
Bus_94,42.438058,-2.468214,248153217.0,[nan],[nan]
Bus_95,42.455359,-2.434345,448321896.0,['L54'],['Parada Dorita Ariño']
Bus_96,42.465755,-2.415133,1667220348.0,['L23'],"['Parada Jacinta Bosch Cañete', 'Parada Toño Cerdán Alvarado', 'Parada Sofía Reyes Borja Torrent']"
Bus_97,42.488345,-2.434254,1235613897.0,[nan],[nan]
Bus_98,42.438764,-2.475768,1735033253.0,['L21'],"['Parada Verónica de Catalá', 'Parada Octavio Aragonés Piña']"
Bus_99,42.490705,-2.418896,690940730.0,[nan],[nan]
Tranvia_1,42.410814,-2.472968,1040244826.0,[nan],[nan]
Tranvia_10,42.453762,-2.430542,1329087366.0,[nan],[nan]
Tranvia_100,42.434697,-2.417228,682218826.0,[nan],[nan]
Tranvia_11,42.490201,-2.471188,1424591152.0,['L51'],['Parada Marcelo Benitez']
Tranvia_13,42.46337,-2.425818,28301083.0,[nan],[nan]
Tranvia_14,42.437284,-2.485553,1653287023.0,[nan],[nan]
Tranvia_15,42.468862,-2.440536,1379187579.0,[nan],[nan]
Tranvia_16,42.456838,-2.499405,585180637.0,[nan],[nan]
Tranvia_17,42.476176,-2.456623,257506793.0,[nan],[nan]
Tranvia_18,42.447542,-2.436625,805034222.0,[nan],[nan]
Tranvia_19,42.421918,-2.490365,85594221.0,[nan],[nan]
Tranvia_2,42.415749,-2.497143,1042163110.0,[nan],[nan]
Tranvia_20,42.496629,-2.483526,1330913566.0,[nan],[nan]
Tranvia_21,42.48324,-2.42345,1513339722.0,['L77'],"['Parada Jacinta Bosch Cañete', 'Parada Isabela Palomar Torralba']"
Tranvia_22,42.45899,-2.431,1583321131.0,[nan],[nan]
Tranvia_23,42.45452,-2.44609,1603780216.0,[nan],[nan]
Tranvia_24,42.473626,-2.422096,265320167.0,[nan],[nan]
Tranvia_25,42.441311,-2.430995,1179900247.0,[nan],[nan]
Tranvia_26,42.402129,-2.467824,855630520.0,[nan],[nan]
Tranvia_27,42.479203,-2.473936,737265223.0,[nan],[nan]
Tranvia_28,42.420422,-2.489985,1055786770.0,[nan],[nan]
Tranvia_3,42.425605,-2.438037,313340857.0,[nan],[nan]
Tranvia_30,42.4556,-2.473125,172706557.0,[nan],[nan]
Tranvia_31,42.419507,-2.495466,1172763772.0,[nan],[nan]
Tranvia_32,42.409265,-2.490596,954557000.0,[nan],[nan]
Tranvia_33,42.444416,-2.486482,16329366.0,[nan],[nan]
Tranvia_34,42.416483,-2.422938,1199865337.0,[nan],[nan]
Tranvia_35,42.426127,-2.434581,275125269.0,[nan],[nan]
Tranvia_36,42.495088,-2.477658,1206119585.0,[nan],[nan]
Tranvia_37,42.417518,-2.428631,169331622.0,[nan],[nan]
Tranvia_38,42.437261,-2.408297,450478114.0,[nan],[nan]
Tranvia_39,42.409966,-2.419915,1460486111.0,[nan],[nan]
Tranvia_4,42.44573,-2.446728,419640594.0,['L14'],['Parada Ángela Ruiz-Busquets']
Tranvia_40,42.460429,-2.43855,831719602.0,['L98'],['Parada Isaura Piña Marí']
Tranvia_41,42.408859,-2.450941,810324904.0,[nan],[nan]
Tranvia_42,42.411885,-2.419159,1623027099.0,[nan],[nan]
Tranvia_43,42.443793,-2.412868,1712438344.0,[nan],[nan]
Tranvia_44,42.415491,-2.43023,1448046087.0,[nan],[nan]
Tranvia_45,42.412716,-2.49486,1679595505.0,[nan],[nan]
Tranvia_46,42.468025,-2.44202,1221270112.0,[nan],[nan]
Tranvia_47,42.449167,-2.442631,1672346927.0,[nan],[nan]
Tranvia_48,42.487831,-2.492433,108981464.0,[nan],[nan]
Tranvia_49,42.494784,-2.481215,126852256.0,[nan],[nan]
Tranvia_5,42.435547,-2.426312,1101227391.0,[nan],[nan]
Tranvia_50,42.481931,-2.471391,1701898427.0,[nan],[nan]
Tranvia_51,42.458261,-2.456217,1169332237.0,[nan],[nan]
Tranvia_52,42.483791,-2.492942,405864090.0,[nan],[nan]
Tranvia_53,42.473108,-2.466899,1508402650.0,[nan],[nan]
Tranvia_54,42.481847,-2.489134,124487982.0,[nan],[nan]
Tranvia_55,42.459123,-2.404504,818337887.0,[nan],[nan]
Tranvia_56,42.467299,-2.409986,1630590791.0,[nan],[nan]
Tranvia_57,42.48282,-2.459626,20410319.0,[nan],[nan]
Tranvia_58,42.418487,-2.498045,1138741280.0,[nan],[nan]
Tranvia_59,42.489179,-2.471764,36195956.0,[nan],[nan]
Tranvia_6,42.445191,-2.436774,1242664374.0,[nan],[nan]
Tranvia_60,42.474754,-2.485809,1397692884.0,[nan],[nan]
Tranvia_61,42.404278,-2.439894,1379869135.0,[nan],[nan]
Tranvia_62,42.497431,-2.418156,703200863.0,[nan],[nan]
Tranvia_63,42.488887,-2.425326,197088010.0,[nan],[nan]
Tranvia_64,42.496742,-2.491465,1145920130.0,[nan],[nan]
Tranvia_65,42.441265,-2.464536,1471973976.0,[nan],[nan]
Tranvia_66,42.493411,-2.402721,1284012762.0,[nan],[nan]
Tranvia_67,42.404258,-2.459236,312337259.0,[nan],[nan]
Tranvia_68,42.45097,-2.494442,1030838095.0,[nan],[nan]
Tranvia_69,42.495755,-2.48273,43752545.0,[nan],[nan]
Tranvia_7,42.495166,-2.470247,1082744330.0,[nan],[nan]
Tranvia_70,42.426589,-2.462524,1069579126.0,[nan],[nan]
Tranvia_71,42.431532,-2.430557,227146419.0,[nan],[nan]
Tranvia_72,42.466369,-2.443993,122814166.0,[nan],[nan]
Tranvia_73,42.40782,-2.494657,736697604.0,[nan],[nan]
Tranvia_74,42.452887,-2.485341,1664518338.0,[nan],[nan]
Tranvia_75,42.405963,-2.426608,1136119404.0,[nan],[nan]
Tranvia_76,42.482367,-2.48485,366712004.0,[nan],[nan]
Tranvia_77,42.478804,-2.402958,401776401.0,[nan],[nan]
Tranvia_78,42.400381,-2.478631,551563375.0,[nan],[nan]
Tranvia_79,42.424409,-2.472484,1638568138.0,[nan],[nan]
Tranvia_8,42.400335,-2.416447,789348773.0,[nan],[nan]
Tranvia_80,42.492089,-2.458058,1316383369.0,[nan],[nan]
Tranvia_81,42.480803,-2.471671,811941958.0,[nan],[nan]
Tranvia_82,42.472591,-2.482176,1604607434.0,[nan],[nan]
Tranvia_83,42.456713,-2.493123,1021151940.0,[nan],[nan]
Tranvia_84,42.480112,-2.497913,387356200.0,[nan],[nan]
Tranvia_85,42.457072,-2.411617,537948664.0,[nan],[nan]
Tranvia_87,42.443712,-2.460848,1114836218.0,[nan],[nan]
Tranvia_88,42.449344,-2.491521,557433375.0,[nan],[nan]
Tranvia_89,42.45701,-2.494334,1390809147.0,[nan],[nan]
Tranvia_9,42.414466,-2.403046,1186911563.0,['L40'],['Parada Verónica de Catalá']
Tranvia_90,42.432489,-2.444885,1604121327.0,['L6'],"['Parada Ildefonso Solana Diego', 'Parada Isaura Piña Marí']"
Tranvia_91,42.495665,-2.444934,1190543488.0,[nan],[nan]
Tranvia_92,42.408661,-2.458346,210766223.0,[nan],[nan]
Tranvia_93,42.445811,-2.415209,443566171.0,[nan],[nan]
Tranvia_94,42.475186,-2.451323,379714222.0,[nan],[nan]
Tranvia_97,42.483068,-2.462044,464869874.0,[nan],[nan]
Tranvia_98,42.433478,-2.486903,322627938.0,[nan],[nan]
Tranvia_99,42.481164,-2.442344,1334675428.0,[nan],[nan]
